Create Date|Price|UUID|Zip code|VIN|Make|Update Date|Year|Model|Mileage
2019-08-23T00:24:10-07:00|20833|26922474-9695-247D-788C-0E42662A652F|68820|6HNPD76NSWD700404|Lexus|2021-05-05T03:34:17-07:00|2013|Impreza|46400
2019-12-04T13:48:08-08:00|19194|C1950A95-3CB7-4755-44B4-B667A4B17649|45892|2IIWV54KESI066769|Kia|2020-01-22T09:15:52-08:00|2012|Accent|28849
2020-05-27T12:17:07-07:00|7724|7469F61D-AC72-3B9D-B588-FCB323DFAF2B|71022|4TXYK22ZBVW956333|Hyundai|2021-01-02T11:53:28-08:00|2004|Jetta|48442
2020-01-03T14:36:42-08:00|11588|F2AB7CAA-024E-0189-92CF-56A5D212DF00|19911|3VVDD43SVIZ366105|Lexus|2021-01-24T11:52:20-08:00|2009|Cruze|37497
2019-08-13T12:42:18-07:00|21054|32D509CC-9B85-3BE6-8476-EC10E64BD761|25981|3SWQS74QXOI293315|Audi|2020-02-02T05:26:12-08:00|1997|Yaris|11327
2019-10-02T10:12:23-07:00|24758|5888E49E-FAEC-628F-4C05-5FA763F02F68|39296|8JPUT98JZBB885382|Honda|2019-10-04T13:52:09-07:00|2017|Jetta|45874
2019-10-27T12:08:16-07:00|4080|746651CA-91F5-3D32-1BD6-4BC21915BD59|10783|4SADY45EHIB231348|Mercedes-Benz|2021-02-15T21:51:06-08:00|2017|Rio|8726
2020-05-18T23:21:04-07:00|3189|CD3437AD-C1A6-713F-C04C-BDEFA1373B7E|53657|4FJIC44PHEX241691|Renault|2019-08-07T06:57:59-07:00|2009|Impreza|44559
2019-10-04T00:30:48-07:00|7081|1F8AC8D6-79A9-8CF6-6BDE-4A800AAD4412|98693|2ACWH66KQOQ974697|Subaru|2019-09-27T21:02:43-07:00|2005|Sentra|20707
2020-04-17T19:35:53-07:00|18823|0BAEF3C8-E6E7-31FF-E34A-D3D009F7187F|10775|2LNKM25GAVE555633|Kia|2019-12-15T10:14:42-08:00|2000|Civic|24121
2019-09-04T04:01:36-07:00|8675|74C985DC-35FA-730A-D574-B295D19BC1AC|90111|2TBJZ40ZECN062408|Ford|2019-08-24T07:16:04-07:00|2013|Versa|43381
2020-02-08T02:03:03-08:00|13251|FB17403D-4E9E-72E0-01C4-E93E1155479C|13976|4YLNA35CFBE642358|Nissan|2021-01-24T06:06:35-08:00|2006|Sonic|21724
2020-05-20T15:11:57-07:00|18587|B3917A18-A9DA-CE18-5EC0-1932A037897F|60880|4IVDC77SUPL135869|Volvo|2020-05-02T07:27:11-07:00|2018|Impreza|43252
2019-06-26T08:08:57-07:00|19583|1222DD78-780C-A38D-6B1D-41DC4B04B881|75444|3RVYD60GCPL058704|Subaru|2020-04-25T14:31:49-07:00|2016|Malibu|29211
2020-05-16T01:04:19-07:00|9779|8895BF85-FEF0-09B7-8642-50DAAEB4B0BF|47478|5WAGR85NOVC359928|Toyota|2021-04-03T18:31:51-07:00|2002|Camry|41271
2019-10-01T01:46:19-07:00|23191|66C7AC1D-3708-AE9C-8939-3FD17D5A4EDE|52890|3CJQB61KTUA670281|Toyota|2020-10-08T11:03:17-07:00|2004|Accord|10016
2020-02-03T04:07:06-08:00|13259|9EC2E00C-0BEA-A739-BBAE-C0E800887BF9|91545|1COZT43OQHT148583|Fiat|2019-08-17T09:43:04-07:00|2017|Versa|49659
2019-10-07T21:02:35-07:00|18448|610108B3-C838-279D-3FA8-FFE38A9BBCCA|34204|3QWKN05LGRI643598|Honda|2021-05-14T01:47:10-07:00|2012|Habanero|11574
2019-11-19T02:55:23-08:00|11711|F96C8EBD-738E-75B7-BE57-3BFAC443DA71|98026|7TFYW94WFRB424395|Suzuki|2020-10-15T03:04:04-07:00|1998|Versa|15612
2020-03-23T06:56:46-07:00|23530|C7AC39D7-A886-4C2E-469D-1AE9539082F6|31197|9ZGLC95KVCL540989|Volkswagen|2020-05-23T10:57:46-07:00|2015|Malibu|40877
2019-06-06T16:09:26-07:00|19074|0B27EB03-4980-BC25-BC92-EDF216737650|32228|0KXRF91EWCM456308|Volkswagen|2019-08-28T11:38:48-07:00|2016|Beetle|7040
2019-06-19T20:37:27-07:00|21438|F1077DA7-C09D-C244-DC99-7C3DD17E7A6B|16233|6MTRB85AJVN736883|Honda|2019-12-24T05:05:50-08:00|2009|Fiesta|38698
2019-07-08T14:30:03-07:00|2613|45B82B97-782B-4157-9549-9B6B554C194B|44140|5RICV19EGOJ507441|Porsche|2019-11-07T23:33:23-08:00|2013|Raptor|37564
2019-11-05T09:03:16-08:00|19671|B4440164-41C1-6A22-30E3-3C98F485309F|91366|4MEAM74WUME244833|Subaru|2019-08-05T17:47:53-07:00|2013|Avalon|13297
2020-03-21T07:58:44-07:00|5969|A4EF938A-634B-25CA-A4C4-AF860600D9C3|77347|8FMXF18SQAY840820|Subaru|2021-01-22T12:08:56-08:00|2012|Jetta|46608
2019-10-14T04:29:53-07:00|10952|85BA63B7-46CD-693A-B9AC-7060A43A7B9C|33928|9XYQW20MYJJ654817|Audi|2019-11-19T14:51:10-08:00|2003|Mirage|38510
2020-04-30T22:23:00-07:00|11469|37A25189-A9E9-7E6A-9818-CF961C8E6F82|22829|7OUHX35FKHA795231|Ford|2020-10-25T18:39:12-07:00|1995|Habanero|46043
2020-01-25T03:07:12-08:00|22716|B3C8966D-71DA-3EC2-459E-62ECBFE56052|68983|3AQZG99MHEQ081166|Ford|2020-07-03T15:11:22-07:00|2011|Mirage|29963
2019-12-10T17:53:24-08:00|22960|5C33D87F-0BEF-8408-3277-C55F914E60B4|47557|3FELD16JRAQ008707|Renault|2020-04-02T03:04:39-07:00|2019|Rio|27337
2019-06-09T09:58:25-07:00|23492|6F757390-601E-EEB7-2AF8-C5643A305480|39924|9RVLD48DCQU670773|Porsche|2020-11-19T07:59:02-08:00|2014|Sonic|41718
2019-11-24T18:51:43-08:00|23474|02F9FC17-9966-69F7-2719-376452FAF551|44497|6UNUU04CLBL757749|Honda|2020-01-04T14:56:45-08:00|1998|i10|28063
2020-04-13T04:56:46-07:00|18772|57928471-CE4F-25D0-C206-3C4CAD0D7387|19931|0ASNW71EXVW300051|Audi|2019-09-18T22:44:41-07:00|2019|Camry|24428
2019-10-05T01:01:44-07:00|14848|8AF40FC5-BA02-A524-6B6A-6EBBD9B4C426|53244|8UBEM14PFCS177061|Volvo|2019-08-01T01:18:05-07:00|1998|Beetle|16182
2020-03-02T15:08:56-08:00|5918|C3E84F2F-87BE-153F-089F-29085F2D3E0B|86752|4VRGF03WVBI752074|Fiat|2020-10-08T05:42:24-07:00|2007|Avalon|34589
2020-05-25T07:00:39-07:00|22525|4F0A2A54-CC58-CDBC-08DC-6F11C6499113|21294|2NMAM79YDAL886205|Nissan|2019-06-24T10:26:22-07:00|2000|Fiesta|24775
2019-11-18T13:01:48-08:00|3952|F5B70080-1990-5A28-8068-5CE53D26FCFE|30379|0FENO30PGTA922713|Nissan|2019-07-11T03:24:43-07:00|2018|Legacy|15362
2019-10-17T11:25:00-07:00|13925|719B136B-1D6F-DE66-53C7-22085E2834A8|65136|2CKZL21HBNW049222|Kia|2019-07-29T20:27:11-07:00|2019|Sandy|22886
2019-06-01T15:26:09-07:00|8347|393EA08E-49DE-6E7C-8690-C812F1682834|63291|3KRFJ22OBFV474506|Volvo|2021-01-22T06:30:00-08:00|1999|i20|30658
2019-10-02T14:29:30-07:00|21178|CAF32D56-8FDE-2D1D-5FA0-751EEDD19908|55626|9MWQC12KPAI748228|BMW|2020-01-06T04:01:18-08:00|2010|Impreza|43835
2020-04-27T06:16:04-07:00|22882|7D8B9281-051B-58E6-743B-0E022BC3078C|37216|5SDGZ83LEBI549279|Toyota|2019-08-02T11:52:00-07:00|1999|Accent|39817
2019-06-05T21:39:59-07:00|14949|F266B2AA-65E4-DBDE-D9A6-00FDF7A53408|60595|4XYFX14WYJI744815|Kia|2019-12-05T14:15:59-08:00|2015|Altima|47143
2020-04-24T09:03:31-07:00|17808|82517B65-CFE9-AD6D-683E-B5F0DA30C149|28991|5HVJM00ARTW980526|Subaru|2020-06-18T14:24:30-07:00|2004|Altima|32296
2019-07-17T07:19:31-07:00|17549|8D5F4CF0-A31E-6FD0-9653-D18CA00C1CF5|32181|7MPAD68ZLVW466677|Lexus|2021-05-23T13:08:37-07:00|2019|Beetle|7427
2019-08-16T14:27:20-07:00|10615|99F74120-6D54-7E9A-35CE-AEA77E6B8579|98238|4CCKN59NITI773702|Volkswagen|2020-05-24T14:41:39-07:00|2013|LS2|19973
2019-06-17T21:07:20-07:00|4931|247A46C2-184D-C583-ECCD-ED34806111E3|67292|2TQIK91NSTW777214|Nissan|2020-02-08T16:20:51-08:00|2000|Yaris|33445
2019-09-16T22:54:12-07:00|12682|A0D5F0BE-8F3E-B69A-B28B-7F2B8AD387B9|98631|0ZGTB72KXFD534056|Volvo|2021-03-06T09:47:44-08:00|2018|Habanero|49071
2019-07-19T06:59:07-07:00|6609|CA61AEA8-79B3-1850-510F-1A8C7161BD73|50360|5CHIA95ERWZ103785|Mercedes-Benz|2019-06-13T00:00:28-07:00|2006|Impala|38579
2019-09-22T02:19:58-07:00|9459|97B0ECD7-96AA-9EA1-4ECA-89B09345A081|28822|4OHMV18YIWS805949|Volvo|2019-12-18T14:39:10-08:00|2005|Accord|16649
2019-11-05T09:00:17-08:00|10308|E96CCD47-5AD2-4CBA-66DC-F562F7F026AA|35798|7XXUF52DDFL566323|Volvo|2020-10-13T16:20:33-07:00|2015|Accent|12070
2019-06-10T16:05:56-07:00|8274|F50A5B62-119C-5170-CCBC-1D838C3F6FEE|41298|0KFCS77SUIF853344|Nissan|2019-12-02T02:38:40-08:00|1999|Versa|8427
2020-05-18T13:44:06-07:00|3462|C89ACFEC-7321-2A11-6123-F20EB92DCF65|29883|4TPES01DNAV120012|Chevrolet|2021-04-07T07:45:34-07:00|2006|Fusion|22153
2020-04-01T06:17:11-07:00|9354|768CEDC0-7838-267D-1828-36BAFB828920|96038|3GELA13IPIU639616|Lexus|2021-04-11T13:54:12-07:00|2008|Rio|33902
2020-03-10T04:24:58-07:00|5002|EDF7DEB3-D3FE-8AAB-3C6E-A49FC10DDC41|87266|3GLZY78ZKDH591685|Fiat|2019-09-19T22:10:22-07:00|2014|Versa|7000
2019-11-16T17:10:23-08:00|5304|9CEA9364-8FD5-09CB-504F-73615655DA29|16715|5KQAN42YDPN986265|Mercedes-Benz|2019-07-01T14:30:31-07:00|1998|Cruze|8356
2019-06-16T02:17:20-07:00|19144|B322BAE2-5290-7FDC-B11C-65232E3B81C5|17556|6AHSG79HDLJ673225|Subaru|2019-09-30T15:32:13-07:00|2019|Jetta|24328
2019-11-20T17:18:58-08:00|18841|8905D199-4C6C-2E71-F388-5BCAEE099C94|34188|3OVOP67RMAH696462|Mercedes-Benz|2020-01-12T06:52:22-08:00|2016|Skyline|38435
2019-06-16T02:27:08-07:00|10671|BBCC1722-0060-9D17-FD68-F5E40BDCC94A|28252|9ADYW30KZLL551747|Hyundai|2019-12-03T01:46:01-08:00|2014|Legacy|17898
2019-07-13T23:30:57-07:00|15347|DC0E765A-37CE-2EEC-B0E8-7811A8C54A52|71834|0YPJM65EEFN285789|Chevrolet|2021-04-29T07:00:05-07:00|2003|Accent|49212
2019-08-24T23:03:45-07:00|6711|7612B4C9-B0B9-7422-AB32-88AFC0DC02FC|45218|3BXFL60JFZF494543|Volvo|2019-08-02T14:28:59-07:00|2000|Civic|28182
2019-07-06T10:42:30-07:00|3662|14942E69-B8DA-ED0D-0F96-2A03170E904A|13574|6FVAI35ONIW714607|Volkswagen|2019-09-04T04:43:24-07:00|2008|Skyline|5052
2019-10-25T23:16:10-07:00|3730|AF26FF17-417F-FB2B-297D-3C9EA6B84C0C|48178|6LUKU46OGCA812185|Kia|2021-04-09T23:37:40-07:00|2002|Sentra|39487
2020-04-17T04:55:17-07:00|11604|5E770392-6FE0-D02E-308A-ED18E71FCADA|28023|3BESZ10RRJN879102|Nissan|2020-12-17T21:23:45-08:00|2019|Mirage|6112
2019-11-15T00:02:42-08:00|12643|9850A9D2-1CF7-6F7D-BD5D-1ABA9BB3038C|52639|6BCTW35FOOC561774|Lexus|2020-06-16T03:07:16-07:00|1999|SLK|35557
2020-05-24T06:55:00-07:00|17348|40CA8F1E-6959-20B9-B136-6FABC16AEECF|16441|4ZDHG13STXB009653|Volkswagen|2020-10-15T01:54:31-07:00|2000|Jetta|30815
2020-06-01T17:26:04-07:00|7233|5E370205-D0A1-C7E0-8611-CB70CBC58C2F|93976|0UJNB27IUDO246522|BMW|2020-02-19T23:55:49-08:00|1998|Accent|28702
